notice_name,document_number,document_date,organization,url,match_reason
滑節構造とした接合部が地震その他の震動によって外れるおそれがない構造方法を定める件,国土交通省告示第五百四十一号,2009-05-14,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006560.pdf,priority_accept_org: 建築指導課
準不燃材料でした内装の仕上げに準ずる仕上げを定める件,国土交通省告示第二百二十五号,2009-02-27,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006430.pdf,priority_accept_org: 建築指導課
建築物の耐震改修の促進に関する法律第三十二条に規定する耐震改修支援センターの指定の基準に関する詳細を定める件,国土交通省告示第二百十七号,2009-02-26,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006657.pdf,priority_accept_org: 建築指導課
建築士事務所の開設者がその業務に関して請求することのできる報酬の基準,国土交通省告示第十五号,2009-01-07,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006656.pdf,priority_accept_org: 建築指導課
地震その他の衝撃により生じた国土交通大臣が定める加速度並びに当該加速度を検知し、自動的に、かごを昇降路の出入口の戸の位置に停止させ、かつ、当該かごの出入口の戸及び昇降路の出入口の戸を開き、又はかご内の人がこれらの戸を開くことができることとする装置の構造方法を定める件,国土交通省告示第千五百三十六号,2008-12-26,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006559.pdf,priority_accept_org: 建築指導課
滑車を使用してかごを吊るエレベーターが地震その他の震動によって索が滑車から外れるおそれがない構造方法を定める件,国土交通省告示第千四百九十八号,2008-12-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006558.pdf,priority_accept_org: 建築指導課
建築基準法施行令第百二十九条の七第五号イ（2）の国土交通大臣が定める措置を定める件,国土交通省告示第千四百九十五号,2008-12-19,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006557.pdf,priority_accept_org: 建築指導課
滑節構造とした接合部が地震その他の震動によって外れるおそれがない構造方法を定める件,国土交通省告示第千四百九十四号,2008-12-19,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006556.pdf,priority_accept_org: 建築指導課
かご内の人又は物による衝撃に対して安全なかごの各部の構造方法及びかご内の人又は物がかご外の物に触れるおそれのないかごの壁又は囲い及び出入口の戸の基準を定める件,国土交通省告示第千四百五十五号,2008-12-10,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006555.pdf,priority_accept_org: 建築指導課
昇降路外の人又は物がかご又は釣合おもりに触れるおそれのない壁又は囲い及び出入口の戸の基準を定める件,国土交通省告示第千四百五十四号,2008-12-10,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006554.pdf,priority_accept_org: 建築指導課
昇降路外の人又は物が昇降路内に落下するおそれのない昇降路の出入口の戸の施錠装置の基準を定める件,国土交通省告示第千四百四十七号,2008-12-09,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006553.pdf,priority_accept_org: 建築指導課
小荷物専用昇降機の昇降路外の人又は物がかご又は釣合おもりに触れるおそれのない壁又は囲い及び出し入れ口の戸の基準を定める件,国土交通省告示第千四百四十六号,2008-12-09,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006552.pdf,priority_accept_org: 建築指導課
建築士法に基づく中央指定登録機関等に関する省令第二十八条第九号の規定に基づき、講義を受講した者又は修了考査に合格した者と同等以上の知識を有する者として国土交通大臣が定める者及び講義又は修了考査のうち国土交通大臣が定める科目を定める件,国土交通省告示第千四百二十八号,2008-11-28,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006655.pdf,priority_accept_org: 建築指導課
建築士法施行規則第十条第一項第六号の国土交通大臣が定める実務を定める件,国土交通省告示第千三十三号,2008-09-02,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006654.pdf,priority_accept_org: 建築指導課
建築士法に基づく中央指定登録機関等に関する省令第二十八条第二号の規定に基づき国土交通大臣が定める講義内容及び講義時間を定める件,国土交通省告示第八百八十一号,2008-07-15,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006651.pdf,priority_accept_org: 建築指導課
建築士法に基づく中央指定登録機関等に関する省令第四十二条第二号の規定に基づき国土交通大臣が定める講義内容及び講義時間を定める件,国土交通省告示第八百八十三号,2008-07-15,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006653.pdf,priority_accept_org: 建築指導課
建築士法に基づく中央指定登録機関等に関する省令第三十九条第二号の規定に基づき国土交通大臣が定める講義内容及び講義時間を定める件,国土交通省告示第八百八十二号,2008-07-15,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006652.pdf,priority_accept_org: 建築指導課
建築士法第十四条第二号の国土交通大臣の指定する建築に関する科目を定める件,国土交通省告示第七百四十一号,2008-06-16,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006646.pdf,priority_accept_org: 建築指導課
建築士法第十四条第一号から第四号までと同等以上の知識及び技能を有する者を定める件,国土交通省告示第七百四十五号,2008-06-16,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006650.pdf,priority_accept_org: 建築指導課
建築士法第十四条第一号の国土交通大臣の指定する建築に関する科目を定める件,国土交通省告示第七百四十号,2008-06-16,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006645.pdf,priority_accept_org: 建築指導課
建築士法第十五条第一号の国土交通大臣の指定する建築に関する科目を定める件,国土交通省告示第七百四十三号,2008-06-16,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006648.pdf,priority_accept_org: 建築指導課
建築士法第十五条第二号の国土交通大臣の指定する建築に関する科目を定める件,国土交通省告示第七百四十四号,2008-06-16,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006649.pdf,priority_accept_org: 建築指導課
建築士法第十四条第三号の国土交通大臣の指定する建築に関する科目を定める件,国土交通省告示第七百四十二号,2008-06-16,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006647.pdf,priority_accept_org: 建築指導課
建築設備（昇降機を除く。）の定期検査報告における検査及び定期点検における点検の項目、事項、方法及び結果の判定基準並びに検査結果表を定める件,国土交通省告示第二百八十五号,2008-03-10,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201706/00006706.pdf,priority_accept_org: 建築指導課
昇降機の定期検査報告における検査及び定期点検における点検の項目、事項、方法及び結果の判定基準並びに検査結果表を定める件,国土交通省告示第二百八十三号,2008-03-10,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201706/00006708.pdf,priority_accept_org: 建築指導課
遊戯施設の定期検査報告における検査及び定期点検における点検の項目、事項、方法及び結果の判定基準並びに検査結果表を定める件,国土交通省告示第二百八十四号,2008-03-10,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006550.pdf,priority_accept_org: 建築指導課
建築物の定期調査報告における調査及び定期点検における点検の項目、方法及び結果の判定基準並びに調査結果表を定める件,国土交通省告示第二百八十二号,2008-03-10,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006549.pdf,priority_accept_org: 建築指導課
建築物の張り間方向又はけた行方向の規模又は構造に基づく許容応力度等計算と同等以上に安全性を確かめることができる構造計算の基準を定める件,国土交通省告示第千二百七十四号,2007-10-05,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006548.pdf,priority_accept_org: 建築指導課
建築基準法施行令第十条第三号ロ及び第四号ロの国土交通大臣の指定する基準を定める件,国土交通省告示第千百十九号,2007-08-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006547.pdf,priority_accept_org: 建築指導課
建築基準法施行令第八十二条各号及び同令第八十二条の四に定めるところによる構造計算と同等以上に安全性を確かめることができる構造計算の基準を定める件,国土交通省告示第八百三十二号,2007-06-19,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006546.pdf,priority_accept_org: 建築指導課
構造耐力上主要な部分である床版又は屋根版に軽量気泡コンクリートパネルを用いる場合における当該床版又は屋根版の構造方法に関する安全上必要な技術的基準を定める件,国土交通省告示第五百九十九号,2007-05-18,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006545.pdf,priority_accept_org: 建築指導課
建築基準法施行令第三十六条の二第五号の国土交通大臣が指定する建築物を定める件,国土交通省告示第五百九十三号,2007-05-18,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006544.pdf,priority_accept_org: 建築指導課
建築物の構造方法が安全性を有することを確かめるための構造計算の方法を定める件,国土交通省告示第五百九十二号,2007-05-18,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006543.pdf,priority_accept_org: 建築指導課
都市の秩序ある整備を図るための都市計画法等の一部を改正する法律による都市計画法等及び建築基準法の一部改正について（技術的助言）,国住街第一六一号,2006-11-06,国土交通省住宅局市街地建築課,http://www.mlit.go.jp/notice/noticedata/pdf/200612/00004783.pdf,strong_accept: 建築基準法 / strong_accept: 都市計画法
